"array depth","source code key","English string"
,are_you_sure_delete_all_ans,"Are you sure you would like to delete your account?
    This will delete all of your history and answerfiles.
    THIS CANNOT BE UNDONE!"
,delete_all_ans,"Delete all answers"
,confirm_delete_acct,"Confirm Deletion of of your account?"
,delete_account,"Delete account"
,interview_data_saved,"interview data saved"
,invalid_guide,"invalid guide"
,password_incorrect,"password incorrect"
,passwords_dont_match,"passwords do not match"
,Languages,Languages
,English,English
,Spanish,Spanish
,Vietnamese,Vietnamese
,select_your_lang,"Select your preferred language"
